k,freq,Ck,Sk,Amp,Phase_deg
0,0,6.718612e-16,0,6.718612e-16,0
1,0.0431788191,-7.93157213e-05,-9.19923564e-06,7.98474143e-05,173.384251
2,0.0863576383,-3.21498293e-05,-0.000387340792,0.000388672742,94.7447541
3,0.129536457,0.000249539918,-0.000288737101,0.000381627154,49.1649113
4,0.172715277,-0.000233127548,-0.000273959405,0.000359725186,130.396339
5,0.215894096,-0.0003013591,-0.00151828216,0.00154790117,101.226548
6,0.259072915,0.00156448966,-0.00215060993,0.00265946442,53.965488
7,0.302251734,0.0495803517,0.00353907001,0.0497065015,-4.08287613
8,0.345430553,0.00203843644,0.00261548981,0.00331602323,-52.0681891
9,0.388609372,-0.0010351048,0.00160881091,0.00191303803,-122.757125
10,0.431788191,-0.000760276634,-0.00140500422,0.00159751602,118.41873
11,0.474967011,0.00219113174,-0.00184008939,0.00286129119,40.0231867
12,0.51814583,0.0497463111,-3.05427078e-05,0.0497463205,0.0351778452
13,0.561324649,0.00155434594,0.00267472976,0.00309356923,-59.8381603
14,0.604503468,-0.000324837614,0.00197332752,0.00199988524,-99.3478616
15,0.647682287,-0.000308050086,0.000697734364,0.000762711019,-113.821483
16,0.690861106,0.000274048105,0.000638714235,0.000695023911,-66.7776602
17,0.734039925,7.68326759e-05,0.000923975524,0.00092716451,-85.2465371
18,0.777218745,-0.000190513146,0.00060120345,0.000630666986,-107.582696
19,0.820397564,6.34830658e-05,0.000391814687,0.000396924235,-80.7967321
20,0.863576383,0.000129225263,0.000584889311,0.000598994721,-77.5412369
21,0.906755202,-9.42654137e-05,0.000541679704,0.000549820762,-99.8719924
22,0.949934021,-2.64398286e-05,0.000318471866,0.00031956751,-94.745865
23,0.99311284,0.000112075147,0.000400255815,0.000415650762,-74.3572865
24,1.03629166,-1.69457521e-05,0.000463508724,0.000463818386,-92.0937855
25,1.07947048,-5.95738646e-05,0.00029369377,0.000299674951,-101.466499
26,1.1226493,8.49310128e-05,0.000290782315,0.000302931728,-73.7180967
27,1.16582812,2.29878714e-05,0.000397141012,0.000397805764,-86.6872221
28,1.20900694,-6.97910126e-05,0.000290637956,0.000298899995,-103.502798
29,1.25218576,4.12927224e-05,0.000223758008,0.000227536228,-79.5441639
30,1.29536457,5.05881858e-05,0.000330689176,0.00033453624,-81.3024327
31,1.33854339,-5.19171541e-05,0.000278377397,0.000283177269,-100.56425
32,1.38172221,1.12216451e-05,0.000190431795,0.000190762139,-86.6276102
33,1.42490103,6.39180418e-05,0.000271093614,0.000278526953,-76.7331865
34,1.46807985,-2.36160798e-05,0.000280647372,0.000281639249,-94.810027
35,1.51125867,-9.90817978e-06,0.000179508049,0.000179781288,-93.1593091
36,1.55443749,6.40700943e-05,0.000221154731,0.000230248544,-73.8433226
37,1.59761631,-8.42408721e-06,0.00026633443,0.000266467622,-91.8116463
38,1.64079513,-3.43266492e-05,0.000170685058,0.000174102578,-101.371129
39,1.68397395,5.24424761e-05,0.000176713287,0.000184330678,-73.4709074
40,1.72715277,1.87274427e-05,0.000237886924,0.000238622937,-85.4987228
41,1.77033158,-3.43226754e-05,0.000185450073,0.000188599511,-100.485523
42,1.8135104,3.38308433e-05,0.000149736663,0.000153510893,-77.2686037
43,1.85668922,3.93884342e-05,0.000212600558,0.000216218515,-79.5038432
44,1.89986804,-3.30675397e-05,0.000189993877,0.000192850034,-99.8731616
45,1.94304686,9.89805712e-06,0.000133025298,0.000133393034,-85.7446158
46,1.98622568,5.21536718e-05,0.000190077887,0.00019710304,-74.6567514
47,2.0294045,-2.76460698e-05,0.00018761352,0.000189639495,-98.3825794
48,2.07258332,-7.33050532e-06,0.000124314476,0.000124530419,-93.3746771
49,2.11576214,4.29770018e-05,0.000158785317,0.000164498631,-74.8551285
50,2.15894096,-7.51219073e-06,0.000186247424,0.000186398862,-92.3097428
